headline,group_name,group_description,importance_score
Most Japan firms favour cautious approach to any Toshiba delisting: poll,WorldNews,Major international events and developments,7.0
In the name of God; Nepal tries to rewrite history,RegionalNews,State-wise and city-wise local news,4.5
Britney steals Madonna's wardrobe!,RegionalNews,State-wise and city-wise local news,4.5
School for special kids starts at Bajwa,Education,"Schools, colleges, exams, admissions, policies",4.5
Frieze Art Fair Leonardo DiCaprio loves art and visited Randalls Island for a VIP preview of the Frieze Art Fair,RegionalNews,State-wise and city-wise local news,4.8
Toyota to drive a small car in India,RegionalNews,State-wise and city-wise local news,4.5
Expected onion price rise worries homemakers,RegionalNews,State-wise and city-wise local news,4.5
Navi Mumbai airport bid to be out today,Infrastructure,"Roads, railways, airports, smart cities",4.5
Medico-legal case creates a flutter,LawJustice,"Courts, legal judgments, litigation",6.0
Rane violated Code: JD (U),RegionalNews,State-wise and city-wise local news,4.5
22-yr-old IT student caught for duping jewellers through prank payment app,Education,"Schools, colleges, exams, admissions, policies",4.5
Your Question,RegionalNews,State-wise and city-wise local news,4.5
Rail budget fails to enthuse Karnataka,Economy,"GDP, inflation, economic indicators, fiscal updates",9.0
BJP still hopeful Congress will pull rug,Politics,"Elections, political parties, ministers, governance, parliament",7.0
Prithvi; Balachandra Menon to share screen,StockMarket,"NSE, BSE, shares, trading, investments",6.0
Gritty film is boosting sex trafficking awareness; says director,Entertainment,"Movies, TV, OTT, celebrities",4.5
From IPL to EPL to lockers; shacks step up their game,Sports,"Cricket, football, Olympics, tournaments",4.5
Sensex defies global slide; up 265 pts,StockMarket,"NSE, BSE, shares, trading, investments",6.0
Ex-minister files plea with state rights body against govt apathy,Politics,"Elections, political parties, ministers, governance, parliament",7.0
Nikhil Chinapa on music DJ Nikhil Chinapa,WorldNews,Major international events and developments,7.0
Potato chips can up heart disease risk,HealthMedicine,"Healthcare, diseases, treatments, hospitals",6.0
Two BSF battalions celebrate Raising Day,RegionalNews,State-wise and city-wise local news,4.5
Chhetri had mild heart attack after arrest: Son,Crime,"Criminal cases, investigations, arrests",4.5
Man gets Rs 65K for blade forgotten in chest during operation,RegionalNews,State-wise and city-wise local news,4.5
Bombay HC ups 3 years' RI to 7 years in 28-year-old case of rape,Crime,"Criminal cases, investigations, arrests",6.5
Take down defamatory posts on Covishield: Bombay high court,LawJustice,"Courts, legal judgments, litigation",6.0
Mufti defends call for emissary,RegionalNews,State-wise and city-wise local news,4.5
Biggies vie for airport makeover project,Infrastructure,"Roads, railways, airports, smart cities",4.5
Diseases; fights led to collapse of Indus civilization,WorldNews,Major international events and developments,7.0
A retired SC judge can get paid more in 2 hours than a serving one in a month,LawJustice,"Courts, legal judgments, litigation",6.0
Noida engineer; cousin killed as car rams divider on Yamuna e-way,Crime,"Criminal cases, investigations, arrests",6.5
Former DG of Health Services dead,HealthMedicine,"Healthcare, diseases, treatments, hospitals",6.0
Union Budget: Rs 1;500 crore will help youth; women; says northeast industry,BusinessCorporate,"Companies, mergers, acquisitions, corporate news",8.0
High Court rejects tainted lawyer's plea for collector's transfer,LawJustice,"Courts, legal judgments, litigation",6.0
Ransomware: Govt rushes to contain damage; secure systems,Cybersecurity,"Hacking, cybercrime, data breaches, security",4.5
RIL not right in seeking hike in gas price: Oil Ministry,EnergyPower,"Electricity, renewable energy, oil and gas",4.5
Transgender community seeks welfare board in state,RegionalNews,State-wise and city-wise local news,4.5
Lockdown effect: Over 50% coaching classes shut forever in Bhopal,RegionalNews,State-wise and city-wise local news,4.5
HCL Tech bags AstraZeneca's $1.4 bn IT deal,Technology,General technology developments and innovations,4.5
Bartoli; you beauty!,RegionalNews,State-wise and city-wise local news,4.5
After 25 mths; NITK campus opens today,WorldNews,Major international events and developments,7.0
Supre Court: File report on shifting crematorium,LawJustice,"Courts, legal judgments, litigation",6.0
bigg boss 12 day 22 october 8 2018 written update romil chaudhary flirts with jasleen matharu after anup jalotas exit,RegionalNews,State-wise and city-wise local news,4.8
Merry Christmas,RegionalNews,State-wise and city-wise local news,4.5
Pratyusha Banerjee's 25th birth anniversary: Kamya Punjabi; Adaa Khan remember the actress,Entertainment,"Movies, TV, OTT, celebrities",4.8
No more trenches for laying OFCs,RegionalNews,State-wise and city-wise local news,4.5
UT seeks info for Metro,Infrastructure,"Roads, railways, airports, smart cities",4.5
Nikkhil Advani: Tremendous times for Indian cinema,WorldNews,Major international events and developments,7.0
700 highrise flats under Ghaziabad Development Authority scanner,RegionalNews,State-wise and city-wise local news,4.5
Rain comes as relief for wildlife; forest officials,EnvironmentClimate,"Climate change, pollution, conservation",4.5
Congress accuses Modi of giving ecologically sensitive land to private firm,Politics,"Elections, political parties, ministers, governance, parliament",7.0
Stunned by losses; Congress to take fresh look at strategy,Politics,"Elections, political parties, ministers, governance, parliament",7.0
US advt co offers job to 15-yr-old city boy who won website devpt contest,EmploymentCareers,"Jobs, recruitment, placements, workforce trends",4.5
Change your single status this year to live longer,WorldNews,Major international events and developments,7.0
Over 300 complain of problems in online forms,RegionalNews,State-wise and city-wise local news,4.5
No force can splinter united Manipur: Biren,RegionalNews,State-wise and city-wise local news,4.5
For Congress; size matters. For BJP; small is effective,Politics,"Elections, political parties, ministers, governance, parliament",7.0
Inadequate coal supply trips UP's power plants,EnergyPower,"Electricity, renewable energy, oil and gas",4.5
Babu in Bollywood,Entertainment,"Movies, TV, OTT, celebrities",4.5
Cautious Modi plays Tamil Nadu card; avoids targeting regional parties,WorldNews,Major international events and developments,7.0
NSUI raises a stink over Youth Congress leader's wife's Barkatullah University job,Politics,"Elections, political parties, ministers, governance, parliament",7.3
If Dulani apprehends threat; security will be provided: Minister,Politics,"Elections, political parties, ministers, governance, parliament",7.0
Murder-suicide? Man; woman found dead in hotel room in northwest Delhi,Crime,"Criminal cases, investigations, arrests",6.5
Children and computers: A practical approach,RegionalNews,State-wise and city-wise local news,4.5
Missed deadline: Gujarat high court junks candidate's NEET request,Education,"Schools, colleges, exams, admissions, policies",4.5
Uncle challenges Varun's LS election,Politics,"Elections, political parties, ministers, governance, parliament",9.0
New US lending laws may bring business for BPOs,WorldNews,Major international events and developments,7.0
FIR against 10 DDA officials for Siri Fort CWG project,RegionalNews,State-wise and city-wise local news,4.5
S7 Software Solutions: Out of one; came many,Technology,General technology developments and innovations,4.5
Covid variant Omicron BQ.1 strain; dominant in US; now found in India,RegionalNews,State-wise and city-wise local news,4.5
A lifetime of love: Platinum couple at home for the aged celebrate 70th wedding anniversary,RegionalNews,State-wise and city-wise local news,4.8
6 Decades Of Bollywood Songs Packed In 5 Minutes!,Entertainment,"Movies, TV, OTT, celebrities",4.5
Belarusian woman's Russian boyfriend held,WorldNews,Major international events and developments,7.0
Pregnant woman dies mysteriously,RegionalNews,State-wise and city-wise local news,4.5
No power to buildings sans completion papers: Madras HC,EnergyPower,"Electricity, renewable energy, oil and gas",4.5
Vaginas like delicate flowers that need nurturing,RegionalNews,State-wise and city-wise local news,4.5
Kochi franchise submits letter; BCCI legal team to study it,Sports,"Cricket, football, Olympics, tournaments",4.5
Oversee drug probe; group urges collector,Pharmaceuticals,"Drug industry, vaccines, medicine approvals",4.5
Prolonged power cuts irk residents on hot days,EnergyPower,"Electricity, renewable energy, oil and gas",4.5
Server problem affected on ration cards issuing process,RegionalNews,State-wise and city-wise local news,4.5
Hottest celebrity Instagram accounts of 2016,Entertainment,"Movies, TV, OTT, celebrities",4.5
Software executive held for swindling from his employers,Technology,General technology developments and innovations,4.5
Govt body issues guidelines on fighting bio-terror,RegionalNews,State-wise and city-wise local news,4.5
Civic body: Spot fine for dumping waste in drainage channels,RegionalNews,State-wise and city-wise local news,4.5
Eicher's Siddhartha is EY Entrepreneur of 2018,Startups,"Startup ecosystem, funding, entrepreneurship",4.5
Uproar in Rajasthan assembly over farm loan waiver,BankingFinance,"Banks, loans, RBI, fintech, financial services",6.0
Tech cos hiring from new IITs; salaries up 15-20%,EmploymentCareers,"Jobs, recruitment, placements, workforce trends",4.5
Bryan Singer Godfather of comic book film genre: Oscar Issac,Entertainment,"Movies, TV, OTT, celebrities",4.5
IP University law school entry rule modified,Education,"Schools, colleges, exams, admissions, policies",4.5
Wild ass now an endangered species,RegionalNews,State-wise and city-wise local news,4.5
'Technicians' dupe hospital of 66 smoke detectors,HealthMedicine,"Healthcare, diseases, treatments, hospitals",6.0
Elena Dementieva (Russia),WorldNews,Major international events and developments,7.0
French finance minister sees overall deal on Greece in June,Politics,"Elections, political parties, ministers, governance, parliament",7.0
Irked with IIM-Am kids' culture; man opens fire,RegionalNews,State-wise and city-wise local news,4.5
Celebrity Throwbacks!,Entertainment,"Movies, TV, OTT, celebrities",4.5
PM's China visit a success: Sinha,WorldNews,Major international events and developments,7.0
WWE Battleground: Full match card and predictions,Sports,"Cricket, football, Olympics, tournaments",4.5
BJP tries to catch them young at Malhar,Politics,"Elections, political parties, ministers, governance, parliament",7.0
Procession brings traffic to a halt on Santhome High Road,Infrastructure,"Roads, railways, airports, smart cities",4.5
maharashtra panvel mla ve after protests,Politics,"Elections, political parties, ministers, governance, parliament",7.0
Uttarakhand: Another ragging incident at Haldwani medical college,Education,"Schools, colleges, exams, admissions, policies",4.5
now best bus stop become share auto stop,StockMarket,"NSE, BSE, shares, trading, investments",6.0
Industrialist arrested for stealing blackberry at airport,Infrastructure,"Roads, railways, airports, smart cities",4.5
Two drown to death while cleaning nullah,RegionalNews,State-wise and city-wise local news,6.5
Sedition; murder cases against Nakheeran's Gopal,Crime,"Criminal cases, investigations, arrests",6.5
UT starts work on body to check pollution level,EnvironmentClimate,"Climate change, pollution, conservation",4.5
Companies push women to build personal brand,BusinessCorporate,"Companies, mergers, acquisitions, corporate news",6.0
Malhotra backtracked on poll petition,RegionalNews,State-wise and city-wise local news,4.5
Maharashtra election results: Loss of Dalit; Muslim votes dents Congress-NCP in over 15 seats,Politics,"Elections, political parties, ministers, governance, parliament",9.3
cabinet nod for two solar power projects in mumbai,GovernmentPolicy,"Government schemes, regulations, policy announcements",4.5
BMS to fight 'economic terrorism',Economy,"GDP, inflation, economic indicators, fiscal updates",7.0
MERC clears R-Infra's sale of city power biz to Adani,EnergyPower,"Electricity, renewable energy, oil and gas",4.5
Veteran actor Victor Banerjee urges CM to promote local films,Entertainment,"Movies, TV, OTT, celebrities",4.5
Train reservations hint at exodus from Chennai on April 15,WorldNews,Major international events and developments,7.0
Lucknow University student bags AIR 8 in GATE,Education,"Schools, colleges, exams, admissions, policies",4.5
Chit fund scam: Serious Fraud Investigation Office claim on Sudipta turned down,Crime,"Criminal cases, investigations, arrests",4.5
Porayar bus depot roof collapse: Madras HC directs TN govt to repair all such structures,WorldNews,Major international events and developments,7.3
People in forest fringes must learn to live with animals,EnvironmentClimate,"Climate change, pollution, conservation",4.5
Rekha brings Khayyam and Talat Aziz together again,RegionalNews,State-wise and city-wise local news,4.5
High Time they had fun!,RegionalNews,State-wise and city-wise local news,4.5
Illegal parking outside police stn,Crime,"Criminal cases, investigations, arrests",4.5
Police harassing law student in the name of probe: Activist,Education,"Schools, colleges, exams, admissions, policies",4.5
Madras high court says don't shut American International school,Education,"Schools, colleges, exams, admissions, policies",4.5
Drug money laundering: Chahal in two day police custody,Pharmaceuticals,"Drug industry, vaccines, medicine approvals",4.5
OnePlus 7 Pro Nebula Blue colour variant to go on sale today via Amazon,WorldNews,Major international events and developments,7.0
Kutch farmers' sweet date with jaggery,RegionalNews,State-wise and city-wise local news,4.5
Holi celebrations get musical in Lucknow,RegionalNews,State-wise and city-wise local news,4.5
Steep increase will result in higher charges,RegionalNews,State-wise and city-wise local news,4.5
Jothe Jotheyalli highlights the plight of farmers,RegionalNews,State-wise and city-wise local news,4.5
Leopard; cub seen in Alibaug RCF unit,RegionalNews,State-wise and city-wise local news,4.5
BJP's 'Special 26' who are clean to get poll duties,Politics,"Elections, political parties, ministers, governance, parliament",7.0
Exempt power plants from tax: Industry body,BusinessCorporate,"Companies, mergers, acquisitions, corporate news",6.0
Topper scam: Lalkeshwar; three others taken on police remand,Crime,"Criminal cases, investigations, arrests",4.5
Turkey's victorious Erdogan set to assume sweeping powers,WorldNews,Major international events and developments,7.0
Exercise can improve insulin sensitivity,RegionalNews,State-wise and city-wise local news,4.5
Earth mining happening unabated,RegionalNews,State-wise and city-wise local news,4.5
Swathi murder case closed formally,Crime,"Criminal cases, investigations, arrests",6.5
ANALYSIS-Mining's new normal: Tackling growth in the shadow of austerity,RegionalNews,State-wise and city-wise local news,4.5
Warring groups stake claim over Khandagiri Housing land,RealEstate,"Housing, property market, construction",4.5
Sangvi park set to open on Saturday,RegionalNews,State-wise and city-wise local news,4.5
Karnataka Bank ex-chairman Ananthakrishna passes away,BankingFinance,"Banks, loans, RBI, fintech, financial services",6.0
I'm optimistic of court verdict: BSY,LawJustice,"Courts, legal judgments, litigation",6.0
Arindam Chaudhuri bags Delhi team of i1 Super Series,RegionalNews,State-wise and city-wise local news,4.5
Cheryl to write romantic novels,RegionalNews,State-wise and city-wise local news,4.5
Railway cops seize 1;302 tortoises; arrest three people,Infrastructure,"Roads, railways, airports, smart cities",4.5
Goa police rescue hostage from Karnataka,Crime,"Criminal cases, investigations, arrests",4.5
Ford studies feasibility of a compact car,RegionalNews,State-wise and city-wise local news,4.5
More cancer patients returning to city for treatment since Dec,HealthMedicine,"Healthcare, diseases, treatments, hospitals",6.0
DIAT webinar on nanostructure,RegionalNews,State-wise and city-wise local news,4.5
Food inflation slips to 17.81%; fuel prices rise,Economy,"GDP, inflation, economic indicators, fiscal updates",7.0
World Cup snub fired Rohit Sharma up,RegionalNews,State-wise and city-wise local news,4.5
City yet to open 'eyes' on reality,RegionalNews,State-wise and city-wise local news,4.5
Kalyan Traffic police itself not following rules,Crime,"Criminal cases, investigations, arrests",4.5
Experian launches CrossCore for intra-bank connectivity,BankingFinance,"Banks, loans, RBI, fintech, financial services",6.0
India has its way on N-fuel supply concerns,RegionalNews,State-wise and city-wise local news,4.5
Tennis egos put India's two Olympic medals at risk,Sports,"Cricket, football, Olympics, tournaments",4.5
US weighs military option in Pakistan: Report,DefenceMilitary,"Armed forces, defense deals, military operations",7.0
Noida police tops state traffic drive,Crime,"Criminal cases, investigations, arrests",4.5
Patients lose patience as all resident doctors join cease work stir,RegionalNews,State-wise and city-wise local news,4.5
Urs panel to promote bamboo cultivation in Mysuru,RegionalNews,State-wise and city-wise local news,4.5
Bank tightens screws,BankingFinance,"Banks, loans, RBI, fintech, financial services",6.0
Hosiery industry sends I-T dept in a spin,BusinessCorporate,"Companies, mergers, acquisitions, corporate news",6.0
Forest dept burdened with 4.96cr addl seedling target,EnvironmentClimate,"Climate change, pollution, conservation",4.5
Married man arrested for raping; duping singer of Rs 6 lakh,RegionalNews,State-wise and city-wise local news,4.5
UP sends para-military forces to guard Rajnath's village,DefenceMilitary,"Armed forces, defense deals, military operations",7.0
'Smart' list: More cities added; but Ludhiana remains 'unsmart',RegionalNews,State-wise and city-wise local news,4.5
Pota court adjourns Vaze's discharge application,LawJustice,"Courts, legal judgments, litigation",6.0
Dandekar bridge violence to intimidate murder witnesses; say cops,Crime,"Criminal cases, investigations, arrests",6.5
Sena; BJP take on each other,Politics,"Elections, political parties, ministers, governance, parliament",7.0
No support from Tamil Nadu,RegionalNews,State-wise and city-wise local news,4.5
Ranchi rural SP hurt in road mishap,Infrastructure,"Roads, railways, airports, smart cities",4.5
Home loans likely to get yet cheaper,RegionalNews,State-wise and city-wise local news,4.5
Melanie Griffith won't marry again,RegionalNews,State-wise and city-wise local news,4.5
Flyer held for smuggling rare metal worth 20 L,RegionalNews,State-wise and city-wise local news,4.5
MIDC keen to levy & collect property tax in industrial areas under civic limits,RealEstate,"Housing, property market, construction",4.5
At last a Theatre Festival,RegionalNews,State-wise and city-wise local news,4.5
Haveri ready for B S Yeddyurappa' big-ticket event,RegionalNews,State-wise and city-wise local news,4.5
Glam; set and match!,Sports,"Cricket, football, Olympics, tournaments",4.5
Jayalalithaa opens Chennai Metro Rail lines from Little Mount to airport and Alandur to St Thomas mount station,Infrastructure,"Roads, railways, airports, smart cities",4.8
Divisive politics won't work: Nitish Kumar,RegionalNews,State-wise and city-wise local news,4.5
Narottam held to extract proof against Badals,RegionalNews,State-wise and city-wise local news,4.5
Security agencies clear the decks for Pune airport expansion,Infrastructure,"Roads, railways, airports, smart cities",4.5
Go Supramental,RegionalNews,State-wise and city-wise local news,4.5
NGO distributes Diwali gifts to employees of mortuary,RegionalNews,State-wise and city-wise local news,4.5
BJP wins Dhemaji seat in Assam,Politics,"Elections, political parties, ministers, governance, parliament",7.0
Endeavour launched from Florida,RegionalNews,State-wise and city-wise local news,4.5
Focus on President's hometown,WorldNews,Major international events and developments,7.0
The new maharajahs: Instead of MPs awarding themselves extravagant salary hike; peg it to GDP growth,Economy,"GDP, inflation, economic indicators, fiscal updates",7.3
Stephen's teachers demand meet on admission policy,GovernmentPolicy,"Government schemes, regulations, policy announcements",4.5
Andhra Pradesh: VIPs asked to visit Kanaka Durga temple only during break darshan,RegionalNews,State-wise and city-wise local news,4.8
REVA University students' innovation to end manual scavenging?,Education,"Schools, colleges, exams, admissions, policies",4.5
Territorial dispute between India; Nepal can only be solved through dialogue; says Foreign Minister Gyawali,Politics,"Elections, political parties, ministers, governance, parliament",7.3
State performs well in polio eradication,RegionalNews,State-wise and city-wise local news,4.5
Undertrial throws slipper at judge,LawJustice,"Courts, legal judgments, litigation",6.0
two men on bike steal 80k from 60 yr old,RegionalNews,State-wise and city-wise local news,4.5
Pahari Mandir gets organic fertlizer plant,RegionalNews,State-wise and city-wise local news,4.5
2 shot as gangs slug it out,RegionalNews,State-wise and city-wise local news,4.5
Inter-caste marriage behind murder of youth in Karur,Crime,"Criminal cases, investigations, arrests",6.5
Mayawati meets PM; seeks more funds,RegionalNews,State-wise and city-wise local news,4.5
'Stinging' nightmare on Kilpauk streets,WorldNews,Major international events and developments,7.0
Karnataka: After a four-week lull; Davanagere reports third Covid-19 case,RegionalNews,State-wise and city-wise local news,4.5
Govt ready to hold dialogue with naxalites: CM,RegionalNews,State-wise and city-wise local news,4.5
Lok Sabha elections 2019: Battle of prestige in BJP stronghold,Politics,"Elections, political parties, ministers, governance, parliament",9.0
Noida: Dust from this road casts a cloud on the business of 100 shops,Infrastructure,"Roads, railways, airports, smart cities",4.5
SACRED SPACEBRMandir versus Masjid,WorldNews,Major international events and developments,7.0
Petrol chainsaws to clear fallen trees in Ahmedabad,RegionalNews,State-wise and city-wise local news,4.5
Students oppose move to hold ITI exam online,Education,"Schools, colleges, exams, admissions, policies",4.5
CM Yogi Adityanath: Only BJP can get Ram temple constructed,Politics,"Elections, political parties, ministers, governance, parliament",7.0
Covid: With 22cr unused doses; govt may allow commercial vaccine exports,Pharmaceuticals,"Drug industry, vaccines, medicine approvals",4.5
Having fun and getting paid for it,RegionalNews,State-wise and city-wise local news,4.5
Share some kitchen time with kids this summer,StockMarket,"NSE, BSE, shares, trading, investments",6.0
IPL fixing probe on; say Mumbai cops,Sports,"Cricket, football, Olympics, tournaments",4.5
BCCI set to debar Kapil and 'rebels',Sports,"Cricket, football, Olympics, tournaments",4.5
CM Devendra Fadnavis takes stock of rain damage,StockMarket,"NSE, BSE, shares, trading, investments",6.0
Ahead of budget; Arun Jaitley pitches for farmers' benefits,Economy,"GDP, inflation, economic indicators, fiscal updates",9.0
Crack down on goons near Sion societies; cops told,RegionalNews,State-wise and city-wise local news,4.5
BJP Mehsana minority cell man held for immigration racket,Politics,"Elections, political parties, ministers, governance, parliament",7.0
Seniors sodomise student during ragging; three arrested,Education,"Schools, colleges, exams, admissions, policies",4.5
Cancer awareness walk held in Vizag,RegionalNews,State-wise and city-wise local news,4.5
Pune-based techie held for duping city resident,RegionalNews,State-wise and city-wise local news,4.5
Principal refutes allegations of grudge against accused,RegionalNews,State-wise and city-wise local news,4.5
No more an island,RegionalNews,State-wise and city-wise local news,4.5
3 arrested for illegally transporting deer meat,RegionalNews,State-wise and city-wise local news,4.5
Forest dept launches work to set up enclosure to rewild tiger cub,EnvironmentClimate,"Climate change, pollution, conservation",4.5
Inchara Rao talks about being a woman in the music industry,BusinessCorporate,"Companies, mergers, acquisitions, corporate news",6.0
Parents feel exam heat as much as wards:Docs,Education,"Schools, colleges, exams, admissions, policies",4.5
Bollywood; TV industry to stop shooting for 2 minutes on 26/11 anniversary,Entertainment,"Movies, TV, OTT, celebrities",4.5
Power bailout soon: Prithviraj Chavan,EnergyPower,"Electricity, renewable energy, oil and gas",4.5
Curbing those extra kilos this Christmas,RegionalNews,State-wise and city-wise local news,6.5
Mentally challenged woman thwarts rape bid by 2 people,Crime,"Criminal cases, investigations, arrests",6.5
Ex-MLAsAidal Singh Kansana & Hardeep Singh Dang meet CM amid talks of cabinet expansaion,GovernmentPolicy,"Government schemes, regulations, policy announcements",4.8
Autoimmune diseases may hinder vaccine protection: Study,Pharmaceuticals,"Drug industry, vaccines, medicine approvals",4.5
Allahabad high court seeks NHAI; Centre reply on toll plaza removal,LawJustice,"Courts, legal judgments, litigation",6.0
Delhi CNG price up by Rs 2.10/kg,RegionalNews,State-wise and city-wise local news,4.5
Rajinikanth: Mani Ratnam; Suresh Krissna made me superstar,RegionalNews,State-wise and city-wise local news,4.5
Bhopal State now enemy property; Centre moves to vest control,RealEstate,"Housing, property market, construction",4.5
Big B to create website dedicated to Harivansh Rai Bachchan,RegionalNews,State-wise and city-wise local news,4.5
NSE to auction investment limit for Rs 2;684-cr bonds on Monday,StockMarket,"NSE, BSE, shares, trading, investments",6.0
Kutami gets student boost: OU panel to launch political party,Politics,"Elections, political parties, ministers, governance, parliament",7.0
Focus on fielding drills in Indian team training,WorldNews,Major international events and developments,7.0
Ruby-New Garia trial clocks 83kmph speed,RegionalNews,State-wise and city-wise local news,4.5
Army men set a new record: 50 half marathons in 50 days,DefenceMilitary,"Armed forces, defense deals, military operations",7.0
6 arrested; 2.3kg of ganja seized in Andhra Pradesh's Chittoor district,RegionalNews,State-wise and city-wise local news,4.5
Registration for GPAT from January 14,RegionalNews,State-wise and city-wise local news,4.5
2018 Commonwealth Games: Sanil Shetty replaces Soumyajit Ghosh in TT squad,RegionalNews,State-wise and city-wise local news,4.5
All the king's men in charge of Nepal,RegionalNews,State-wise and city-wise local news,4.5
A precursor to calamity,RegionalNews,State-wise and city-wise local news,4.5
Teachers' recruitment process from 3rd week of December,EmploymentCareers,"Jobs, recruitment, placements, workforce trends",4.5
Election code eclipses 'Rajyotsav' celebrations in Chhattisgarh,Politics,"Elections, political parties, ministers, governance, parliament",9.0
Former US NSA James Jones says he delivered Ijaz memo to Admiral Mullen,WorldNews,Major international events and developments,7.0
Goerges reaches first grass court final in Mallorca,LawJustice,"Courts, legal judgments, litigation",6.0
Common cadre for panchayats soon,RegionalNews,State-wise and city-wise local news,4.5
Marathon organised in Ajmer to spread awareness on coronavirus,RegionalNews,State-wise and city-wise local news,4.5
Aquatics,RegionalNews,State-wise and city-wise local news,4.5
DIY project for the week: Dreamcatcher,RegionalNews,State-wise and city-wise local news,4.5
SC boost for Ramesh's bid to set up autonomous green clearance body,WorldNews,Major international events and developments,7.0
Centre moves Supreme Court against Gauhati HC order on CBI,LawJustice,"Courts, legal judgments, litigation",8.0
No intentions of coming back to BJP: Uma,Politics,"Elections, political parties, ministers, governance, parliament",7.0
Bid to browbeat judiciary not a new trend: retired HC judges,RegionalNews,State-wise and city-wise local news,4.5
LU to sign MoU with California Varsity,RegionalNews,State-wise and city-wise local news,4.5
CM asks DMs to visit villages,RegionalNews,State-wise and city-wise local news,4.5
Hyderabad: No attendants in buses; major risk for school kids,Education,"Schools, colleges, exams, admissions, policies",4.5
BJP govt lacked guts to face no-trust: Digvijaya,Politics,"Elections, political parties, ministers, governance, parliament",7.0
Indian hotel and restaurant industry to discuss employment growth at its national meet in Goa,BusinessCorporate,"Companies, mergers, acquisitions, corporate news",6.3
Karnavati polls: Freedom panel candidate withdraws,RegionalNews,State-wise and city-wise local news,4.5
Left by wife; man ends life,RegionalNews,State-wise and city-wise local news,4.5
Pharma drug development only for wealthy countries?,Pharmaceuticals,"Drug industry, vaccines, medicine approvals",4.5
NHRC flays govt on casteism,RegionalNews,State-wise and city-wise local news,4.5
Deepika is also shooting in Delhi!,RegionalNews,State-wise and city-wise local news,4.5
President voices concern over Parliament disruptions; urges MPs to introspect,Politics,"Elections, political parties, ministers, governance, parliament",7.0
Foetus found under railway bridge,Infrastructure,"Roads, railways, airports, smart cities",4.5
Pics: Hottest IPL cheerleaders,Sports,"Cricket, football, Olympics, tournaments",4.5
Tipplers try to steal God's laddu; held,RegionalNews,State-wise and city-wise local news,4.5
Wave Group inks expansion plans after split,RegionalNews,State-wise and city-wise local news,4.5
Alandur metro station still awaits FoB,Infrastructure,"Roads, railways, airports, smart cities",4.5
Police looking for habitual stabbers,Crime,"Criminal cases, investigations, arrests",4.5
Flying start for junior Indian shuttlers in World Badminton Championships,RegionalNews,State-wise and city-wise local news,4.5
Parthiv Sureshwaren finishes 10th in MRF Challenge 2012,RegionalNews,State-wise and city-wise local news,4.5
Land dispute: Woman killed by sister-in-law in Patna,Crime,"Criminal cases, investigations, arrests",6.5
Gujarat: In lion kingdom; electric train speed capped at 45kmph,RegionalNews,State-wise and city-wise local news,4.5
TV actor Sangram Singh bids adieu to his career on television,Entertainment,"Movies, TV, OTT, celebrities",4.5
Man kills son after being scolded for consuming liquor,Crime,"Criminal cases, investigations, arrests",4.5
Coromandel International Limited forms JV with Japanese company,BusinessCorporate,"Companies, mergers, acquisitions, corporate news",6.0
Will rehabilitate landless; Telangana govt tells HC,RegionalNews,State-wise and city-wise local news,4.5
Garbage dumped at Railway Platform,Infrastructure,"Roads, railways, airports, smart cities",4.5
Controversy deepens over Calicut University appointments,Education,"Schools, colleges, exams, admissions, policies",4.5
Expired' oil costs licence of a wholesale shop,EnergyPower,"Electricity, renewable energy, oil and gas",4.5
Wedding din disrupts classes in DAV College,Education,"Schools, colleges, exams, admissions, policies",4.5
Franklin is okay with IPL; unlike his fellow countryman Oram,Sports,"Cricket, football, Olympics, tournaments",4.5
Big cos; not IITs or MIT; new startup garages: Mahindra,Startups,"Startup ecosystem, funding, entrepreneurship",4.5
Central Railway cancels Sunday megablocks on Main; Harbour lines,Infrastructure,"Roads, railways, airports, smart cities",4.5
Night power rostering hits city,EnergyPower,"Electricity, renewable energy, oil and gas",4.5
High court dismisses disqualified MLAs' plea,LawJustice,"Courts, legal judgments, litigation",6.0
CWG 2022: Indian cyclist Meenakshi suffers crash; run over by rival,RegionalNews,State-wise and city-wise local news,4.5
Nagpur University must appoint a pro-VC at the earliest,Education,"Schools, colleges, exams, admissions, policies",4.5
Family trains guns on Delhi Police,Crime,"Criminal cases, investigations, arrests",4.5
Anil Kapoor to do Ramgopal Varma film,Entertainment,"Movies, TV, OTT, celebrities",4.5
Actor rape case: Accused Vigeesh belongs to CPM family,Entertainment,"Movies, TV, OTT, celebrities",6.5
England and India agree on two-year IPL deal,Sports,"Cricket, football, Olympics, tournaments",4.5
Cops bust sex racket; rescue three women,RegionalNews,State-wise and city-wise local news,4.5
#CubbonParkUlisi: Bengalureans worry city will go the Delhi way,RegionalNews,State-wise and city-wise local news,4.5
HC confirms life term for man who killed teen,Crime,"Criminal cases, investigations, arrests",6.5
Bailout plan for telcos may be presented to Cabinet,GovernmentPolicy,"Government schemes, regulations, policy announcements",4.5
Rookies making a mark in the IPL,Sports,"Cricket, football, Olympics, tournaments",4.5
Hepatitis vaccine: More awareness needed,Pharmaceuticals,"Drug industry, vaccines, medicine approvals",4.5
MP man held in Kolkata's medical seat scam,Politics,"Elections, political parties, ministers, governance, parliament",7.0
Kolkata Metro may tweak train timings,Infrastructure,"Roads, railways, airports, smart cities",4.5
